list_no,notice_no,title,dept,publish_date,publish_period,views,notAncmtMgtNo,detail_url,detail_url_http,publish_date_iso,list_page,pos_hits,neg_hits,score,strong_neg,blacklist_hit,is_keyword_candidate,pipeline_status,reject_reason,category
5822,수원시 고시 제2026-372호,소하천구역의 결정(변경) 및 지형도면 고시(당수천),수질하천과,2026-08-31,2026-08-31 ~ 2026-09-14,18,156052,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156052,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156052,2026-08-31,9,,,0,,,False,rejected,not_keyword_candidate,
5821,수원시 고시 제2026-371호,소하천의 지정(변경)에 관한 고시(당수천),수질하천과,2026-08-31,2026-08-31 ~ 2026-09-14,26,156051,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156051,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156051,2026-08-31,9,,,0,,,False,rejected,not_keyword_candidate,
5820,수원시 팔달구 우만1동 공고 제2026-54호,신규 주민등록증 발급통지서 미수령자에 대한 공고 (2009년 8월생),우만1동,2026-08-31,2026-08-31 ~ 2026-09-14,14,155979,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155979,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155979,2026-08-31,9,,,0,,,False,rejected,not_keyword_candidate,
5819,수원시 공고 제2026-1911호,수원도시계획시설[제114호 근린공원(대유평공원)] 정비사업 사업시행자 지정 및 실시계획인가 열람 공고,생태공원과,2026-08-31,2026-08-31 ~ 2026-09-14,31,155953,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155953,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155953,2026-08-31,9,,"도시계획,실시계획",-2,,인가,False,rejected,blacklist:인가,
5818,수원시 장안구 정자3동 공고 제2026-45호,2026년 4분기 정자3동 주민자치센터 프로그램 수강생 모집 공고,정자3동,2026-08-28,2026-08-28 ~ 2026-09-18,129,156153,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156153,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156153,2026-08-28,9,"모집,프로그램,수강",,3,,,True,candidate,,course_local
5817,수원시 수원시립미술관 공고 제2026-22호,2027년 상반기 수원시립만석・북수원전시관 정기대관 접수 정정공고,미술관정책과,2026-08-28,2026-08-28 ~ 2026-10-16,74,156144,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156144,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156144,2026-08-28,9,,,0,,,False,rejected,not_keyword_candidate,
5816,수원시 영통구 영통1동 공고 제2026-49호,2026년 4분기 영통1동 주민자치센터 프로그램 수강생 모집 공고(수정),영통1동,2026-08-28,2026-08-28 ~ 2026-09-30,118,156142,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156142,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156142,2026-08-28,9,"모집,프로그램,수강",,3,,,True,candidate,,course_local
5815,수원시 공고 제2026-1975호,수원시 시립어린이집 위탁체 선정 공고,가족정책과,2026-08-28,2026-08-28 ~ 2026-09-27,140,156141,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156141,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156141,2026-08-28,9,,,0,,,False,rejected,not_keyword_candidate,
5814,수원시 영통구 광교2동 공고 제2026-33호,2026년 4분기 광교2동 주민자치센터 프로그램 수강생 모집 공고,광교2동,2026-08-28,2026-08-28 ~ 2026-09-16,209,156137,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156137,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156137,2026-08-28,9,"모집,프로그램,수강",,3,,,True,candidate,,course_local
5813,수원시 영통구 공고 제2026-458호,지적공부 등록사항정정 대상토지 공고 건의,토지관리과,2026-08-28,2026-08-28 ~ 2026-09-18,33,156129,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156129,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156129,2026-08-28,9,,,0,,,False,rejected,not_keyword_candidate,
5812,수원시 영통구 망포2동 공고 제2026-40호,2026년 4분기 망포2동 주민자치센터 프로그램 수강생 모집,망포2동,2026-08-28,2026-08-28 ~ 2026-09-30,102,156127,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156127,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156127,2026-08-28,9,"모집,프로그램,수강",,3,,,True,candidate,,course_local
5811,수원시 공고 제2026-1968호,「 민간임대주택에 관한 특별법 」위반에 따른 과태료 사전통지 공시송달 공고,공동주택과,2026-08-28,2026-08-28 ~ 2026-09-18,78,156126,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156126,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156126,2026-08-28,9,,"공시송달,과태료",-2,"공시송달,과태료",공시송달,False,rejected,"strong_neg:공시송달,과태료",
5810,수원시 공고 제2026-1966호,2026년도 페달 오조작 방지장치 설치 지원사업 지원자 모집 공고,교통정책과,2026-08-28,2026-08-28 ~ 2026-09-14,107,156124,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156124,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156124,2026-08-28,9,"모집,지원사업",,2,,,True,candidate,,support_apply
5809,수원시 장안구 연무동 공고 제2026-53호,연무동 주민자치센터 특성화 프로그램 수강생 모집 공고,연무동,2026-08-28,2026-08-28 ~ 2026-09-14,72,156123,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156123,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156123,2026-08-28,9,"모집,프로그램,수강",,3,,,True,candidate,,course_local
5808,수원시 영통구 영통3동 공고 제2026-65호,주민등록 무단전출자에 대한 최고공고,영통3동,2026-08-28,2026-08-28 ~ 2026-09-14,27,156120,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156120,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156120,2026-08-28,9,,,0,,,False,rejected,not_keyword_candidate,
5807,수원시 영통구 망포2동 공고 제2026-39호,신규 주민등록증 발급통지서 반송 공시송달 공고(2009년 8월생),망포2동,2026-08-28,2026-08-28 ~ 2026-09-17,33,156115,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156115,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156115,2026-08-28,9,,공시송달,-1,공시송달,공시송달,False,rejected,strong_neg:공시송달,
